,Id,Name,Location,Rating,Price,Zipcode,Pickup,Delivery,Reservation,Review Count,Categories,Status
39,2rjcqpDzCIHh1cyNFSh-4w,Asian Bowl,101-11 Queens Blvd,3.5,$,11375,True,True,False,189,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'burmese', 'title': 'Burmese'}]",False
40,gJMMX5Ip4AsulbzxMZgdYg,Thaibird,2330 Borden Ave,5.0,,11101,True,True,False,4,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",False
41,xR2Yeb_Nh0MOAiUIaqaVOg,Tavern 157,157-12 Northern Blvd,4.5,$$,11354,True,True,True,403,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",False
42,c9I4-T9wTlMmJEHb4obEdQ,Happy Gathering,3220 34th Ave,3.0,$,11106,True,True,False,51,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]",False
43,V6lfm-yKrVqIQh_QZv7Qvg,Lemonleaf Grill,536 S Broadway,3.5,$$,11801,False,True,False,222,"[{'alias': 'thai', 'title': 'Thai'}]",False
44,4xQ7ZLWHFALOmJJURDOCUw,Curry 42,220 E 42nd St,4.0,,10017,False,False,False,6,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'thai', 'title': 'Thai'}]",False
45,HyENSD29rcF_5iSFakhMSw,Song,295 5th Ave,3.5,$$,11215,True,True,False,1074,"[{'alias': 'thai', 'title': 'Thai'}]",False
46,FL7aHCbKMDSpchQS1KucHQ,Thai O'Brien's,478 Ave E,3.5,$$,07002,True,True,False,137,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'karaoke', 'title': 'Karaoke'}]",False
47,_pZk7XbpyqTSfHBllTGAEg,Station Thai Bistro,2 E Ridgewood Ave,4.0,,07450,True,True,False,18,"[{'alias': 'thai', 'title': 'Thai'}]",False
48,8Jz2IfS-BGCm1GniqJVe2A,Saketumi Asian Bistro,118 Montague St,4.0,$$,11201,True,True,False,146,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",False
