,Id,Name,Location,Rating,Price,Zipcode,Pickup,Delivery,Reservation,Review Count,Categories,Status
30,XipQLDbyTl5tsLlyzAWzug,Jajaja Plantas Mexicana,162 E Broadway,4.5,$$,10002,True,True,True,974,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'bars', 'title': 'Bars'}]",False
31,IfIyjm4SfORGYPbaAWST3g,Mexicue,225 5th Ave,4.0,$$,10010,True,True,False,504,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
32,ci0-GO_iMb0NdTCUYWjocQ,Noche De Margaritas,1726 2nd Ave,4.0,$$,10128,True,True,False,366,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
33,vyKBwzRdNX4yiJDIFv37iw,Oxomoco,128 Greenpoint Ave,4.0,$$$,11222,False,False,False,336,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
34,4c4Uwb5yUqXJ-inkcDinIg,Mcondo Tacos,502 Grand St,4.0,$$,11211,True,True,False,319,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
35,r5NT8-nV4py2c-mppTKucQ,Essex Taqueria,123 Essex St,4.0,$,10002,True,True,False,285,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
36,_5G0SOM1ogWTsSmPBGRfzA,El Gallo Taqueria,214 Highlawn Ave,4.0,$$,11223,True,True,False,286,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'mexican', 'title': 'Mexican'}]",False
37,7bD22UAtH56ikWYslOSIQg,Calexico - Upper East Side,1491 2nd Ave,4.0,$$,10075,True,True,False,724,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tacos', 'title': 'Tacos'}]",False
38,0WhwvW1E1Rld_B6APA7VRw,Aleli Mexican Restaurant,7804 3rd Ave,5.0,,11209,True,True,False,37,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]",False
39,ipmOYDh9snm3ZUv546MACQ,Taqueria Milear,752A Nostrand Ave,4.0,$,11216,True,True,False,212,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
40,SXWnyFNLCehVlJPRxk7gAg,Anejo Tribeca,301 Church St,4.0,$$,10013,True,True,False,441,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",False
41,zjnnccSIpMdx5fN-MxAr_w,La Superior,295 Berry St,3.5,$$,11211,False,True,False,595,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
42,Xak3sB5LkJgjgYYf6_hQLA,Casa Taqueria,40 Gold St,4.0,,10038,True,True,False,64,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
43,CfOBb6NU2awo8xclJpKU3g,Chela Modern Mexican,408 5th Ave,4.5,$$,11215,True,True,False,493,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
44,FeIQnJwhsNjyOIX_uhNYXg,Ojalá- Authentic Mexican,852 Fulton St,4.5,,11238,True,True,False,50,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
45,SCQvI5pAJmD-OMm37kkS6Q,DORADO Tacos & Quesadillas,28 E 12th St,4.0,$,10003,True,True,False,660,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",False
46,BK99GBVm_V6n_CTsc65mTw,Esqueleto Taqueria,155 Atlantic Ave,5.0,,11201,False,True,False,1,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
47,_URXTaYBbd2XX5qJbDkKAg,Taco Morelos,183 Bedford Ave,4.0,$,11211,True,True,False,98,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
48,TgoYhgbPCYhLBNtpue3QHg,Maya,1191 1st Ave,3.5,$$,10065,True,True,False,953,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
49,skN-mgnOezFQr9YNh5G5TQ,Lolita's Kitchen,1364 Lexington Ave,4.0,$,10128,True,True,False,96,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'burgers', 'title': 'Burgers'}]",False
,Id,Name,Location,Rating,Price,Zipcode,Pickup,Delivery,Reservation,Review Count,Categories,Status
0,L5eqJRy8Yx_4El6rUxWmBw,El Vez Burrito Bar,259 Vesey St,4.0,$$,10282,True,True,False,135,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
1,VCVCmflFEkQ0qRDQ805P2g,Xochitl Taqueria,176 Smith St,5.0,,11201,True,True,False,10,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
2,cQWUPxESnMx69dshABS_rg,Taquitos Mexico,6720 14th Ave,4.0,$,11219,True,True,False,211,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
3,jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,75 9th Ave,4.5,$,10011,False,False,False,3068,"[{'alias': 'tacos', 'title': 'Tacos'}]",False
4,8_NilECM6qg_L7WYb25uNw,Luchadores,87 South St,3.5,,10038,True,True,False,84,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
5,NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,17 Prince St,4.0,$$,10012,True,True,False,3157,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'mexican', 'title': 'Mexican'}]",False
6,N90gLDq4XgqYanlRqaeNKg,Acapulco,1116 Manhattan Ave,4.0,$,11222,False,True,False,284,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'newamerican', 'title': 'American (New)'}]",False
7,DQuwci5xgJxXx7dxxp9FBA,Taqueria St. Marks Place,79 St Marks Pl,4.0,$$,10003,True,True,False,434,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
8,iK2jJQA72XRjf4nUD3cAnA,Tortilleria Mexicana Los Hermanos,271 Starr St,4.0,$,11237,False,True,False,718,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
9,ry7XCoXXxS0DxRmzZLFybw,Taqueria Gramercy,218 3rd Ave,4.0,,10003,True,True,False,92,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tacos', 'title': 'Tacos'}]",False
10,zBORlLYwMqqJ_GOX6K31mw,Pedro's Mexican Bar & Restaurant,73 Jay St,2.5,$$,11201,True,True,False,493,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
11,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4708 47th Ave,4.5,$,11377,True,True,False,381,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
12,v8tuFxvNkKdZytWTn9BhMA,Fonda Chelsea,189 9th Ave,4.0,$$,10011,True,True,False,348,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
13,tvqtAjAyc7dplVVwhw3VZQ,La Contenta Oeste,78 W 11th St,4.0,$$,10011,True,True,False,238,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",False
14,0Y8dv9UHGquFkWlVK7PdjA,Buddy's Burrito & Taco Bar,260 Court St,4.0,$,11231,False,True,False,174,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
15,njV8tFM7PivgDhWng_Lb6g,Las Margaritas,7206 3rd Ave,4.0,$$,11209,True,True,False,247,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
16,jy6AHLVJ7cVJZ4Fl_ds3Qg,Los Tres Chiflados,1046 Flatbush Ave,4.0,$$,11226,True,True,False,106,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
17,hOLv0a65RSb5QvFd0FrYjw,Taqueria Santa Fe,214 Stanhope St,4.5,$,11237,True,True,False,118,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
18,FavssEgZjXFi2unEXePkVQ,Tacombi - Bleecker Street,255 Bleecker St,4.0,$$,10014,True,True,False,382,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",False
19,Ck09FempamAKGSPsV_bX-A,Xixa,241 S 4th St,4.5,$$$,11211,True,True,False,587,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",False
20,L3REPLCvQpMapYPd_fkS-A,Los Mariscos,409 W 15th St,4.5,$,10011,True,True,False,611,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tacos', 'title': 'Tacos'}]",False
21,boRM4i0UQswxQIp6CA9y_A,La Esquina - SoHo,114 Kenmare St,3.5,$$,10012,False,True,False,2040,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mexican', 'title': 'Mexican'}]",False
22,ba5xIqz4IYmvxSujBH0mTg,Chilango Taco,906 40th St,4.5,,11219,True,True,False,7,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
23,DY2wlHlgC5eHITs-d5rT4w,Panchos,964 Amsterdam Ave,4.0,$,10025,True,True,False,62,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
24,6ZfVmImuKJg9lB1PF4pfPg,Taqueria Fort Greene,154 Carlton Ave,4.0,,11205,True,True,False,27,"[{'alias': 'tacos', 'title': 'Tacos'}]",False
25,_M5FVY4hkcuU-ASdVZPfRQ,Tacos El Bronco,4324 4th Ave,4.0,$,11220,False,True,False,601,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",False
26,X2C0_I0seTtjW9uL8e8FBw,Don Chingon,216 Flatbush Ave,4.5,$$,11217,True,True,False,351,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",False
27,kcywDOgRlBPLW3eTMUgxEw,Grand Canyon Restaurant,143 Montague St,4.5,$$,11201,True,True,False,77,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'diners', 'title': 'Diners'}]",False
28,1NL-Uk5v0PYtLNulhO1YRw,El Rinconcito Mix,774 St Johns Pl,4.0,,11216,True,True,False,47,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'dominican', 'title': 'Dominican'}]",False
29,ND2PgVHYAF4IdaV6Zse5hQ,Taqueria al Pastor,128 Wyckoff Ave,4.5,$,11237,True,True,False,92,"[{'alias': 'tacos', 'title': 'Tacos'}]",False
30,Nnuz_Ic0IdWOUbl64r4Hkg,Fonda Park Slope,434 7th Ave,4.0,$$,11215,True,True,False,820,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
31,xemN4tP9RlK5c-yUT-M71Q,Mamasita Bar & Grill,818 10th Ave,4.0,$$,10019,True,True,False,1175,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",False
32,ub2VfE7SRLJABAClzGZp3A,Tacombi - Flatiron,30 W 24th St,4.0,$$,10010,True,True,False,666,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
33,tuP7STBjszTvKcQLeFMnkw,The Great Burrito,522 Columbus Ave,4.0,$$,10024,True,True,False,281,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'newamerican', 'title': 'American (New)'}]",False
34,rbAxZRKdMoMxeonDTmooFg,El Vez,259 Vesey St,3.5,$$,10282,True,True,False,665,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",False
35,DHFEpeJXemrdxIuGGcyurg,De Mole,4502 48th Ave,4.0,$$,11377,True,True,False,618,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
36,NXjCypQNl7tBrdR3gkFqdg,Lupita's Restaurant,2049 2nd Ave,4.0,$$,10029,True,True,False,128,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
37,jeWIYbgBho9vBDhc5S1xvg,Chano's Cantina,35-55 31st St,4.0,$$,11106,True,True,False,186,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
38,KhGbD1U51KKcl6frzNDa0A,Taqueria El Patron Mexican Grill,51 Lincoln Rd,3.5,$$,11225,True,True,False,202,"[{'alias': 'mexican', 'title': 'Mexican'}]",False
39,l0ZOGV9tohkpfHiZ-3XSRg,Friducha,946 Manhattan Ave,4.0,$$,11222,True,True,False,88,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",False
